What are the main ingredients of an EC2 instance?	AMI (template), instance type (sizing), subnet (which decides VPC + AZ), security group(s), key pair (SSH access), EBS volumes, optional user data (boot script), optional IAM instance profile, tags.
Is an AMI the same as an EBS snapshot?	No. An EBS-backed AMI is metadata + a reference to one or more EBS snapshots. The snapshots hold disk data; the AMI wraps them with kernel/architecture/virtualization-type metadata that makes them launchable.
What scope does an AMI live in, and what's the gotcha for multi-region Terraform?	Region-scoped. An ami-... ID is unique to one region. Use aws ec2 copy-image to move. In Terraform, prefer data "aws_ami" with a filter instead of hardcoding the ID.
Stop vs start: what changes and what stays?	Stays: EBS root volume contents, instance ID, private IP, AMI ID, Elastic IP (if associated).<br>Changes: auto-assigned public IP (released, new on start), instance store contents (gone — host may change).
delete_on_termination defaults — root vs additional EBS volumes?	Root volume defaults TRUE (deleted with the instance).<br>Additional EBS volumes default FALSE (survive termination, accrue storage charges, can be reattached in the same AZ).<br>Asymmetric — exam-frequent.
Why doesn't EC2 attach an IAM role directly?	EC2 takes an Instance Profile (a thin wrapper around a role). Console hides this; Terraform requires aws_iam_instance_profile + iam_instance_profile = ...name on the instance. Lambda/ECS take roles directly — EC2 is the special case.
What's IMDSv2 and why does it matter?	Instance Metadata Service v2. Required on modern AMIs.<br>Flow: PUT /latest/api/token first → GET /meta-data/... with X-aws-ec2-metadata-token header.<br>Defends against SSRF (most SSRF primitives only do GET). If you forget the token, the endpoint returns empty silently.
Does changing aws_instance.instance_type force replacement?	No — in-place update (~). Provider calls StopInstance → ModifyInstanceAttribute → StartInstance. ~1-3 min downtime, but instance ID, EBS, EIP preserved.<br>But aws_instance.ami IS ForceNew (-/+) — can't swap OS on a running instance. Always read the plan.
What's the difference between aws_subnets and aws_subnet?	aws_subnets (plural) returns a list of subnet IDs under .ids — there's NO .id attribute. To pick one: tolist(data.aws_subnets.X.ids)[0].<br>aws_subnet (singular) returns full attributes for ONE subnet looked up by id or filter.
Auto-assigned public IP vs Elastic IP — three differences?	1) Sticky across stop/start: auto-assigned NO, EIP YES.<br>2) Movable: auto-assigned NO, EIP YES.<br>3) Limit: auto-assigned unlimited, EIP soft 5 per region.<br>Both cost ~$0.005/hr since Feb 2024.
What values does ip_protocol take in a security group rule?	tcp, udp, icmp, icmpv6, or -1 (all). NOT application names like "ssh" or "http" — those are just port+TCP combinations. The AWS console labels rules with friendly names ("SSH"), but the API takes IP-layer protocols only.
How do you safely scope SSH access in a security group ingress rule?	Use your own public IP with /32 (= exactly one IP). Find it with curl -s checkip.amazonaws.com. NEVER 0.0.0.0/0 on port 22 — bots brute-force within minutes. Real-world: use a bastion or AWS Systems Manager Session Manager (no SSH at all).
Why is "t3-micro" wrong?	AWS instance type names use a literal period: family.size (t3.micro, m5.large, c6i.xlarge). Hyphens are rejected with InvalidParameterValue.
After a successful terraform plan, why does `terraform console` still show data source values as (known after apply)?	terraform plan reads data sources in memory only — it does NOT persist them to state. terraform console reads from state. Fix: terraform apply -refresh-only to commit the read; then console will return the real values.
On Ubuntu 24.04 EC2 instances, how do you install AWS CLI v2?	Not via `apt install awscli` — Canonical dropped that package from default repos in 24.04. Use the AWS official installer (curl awscliv2.zip + unzip + sudo ./aws/install) or `snap install aws-cli --classic`.
