What is IAM's policy evaluation order?	Implicit deny (default) → explicit Allow lifts it → explicit Deny overrides everything. One explicit Deny anywhere = denied. Order, count, and specificity do NOT matter.
Which AWS region does IAM live in?	None — IAM is a global service. No region selection. (API endpoint historically runs from us-east-1, but conceptually global.)
What's the credential difference between an IAM User and an IAM Role?	User: long-lived credentials (password, access key) that persist until rotated.<br>Role: no permanent credentials; on assume, AWS STS issues temporary credentials that auto-expire (default 1h, max 12h).
What two policies does an IAM Role need to be useful?	1) Trust policy (assume_role_policy on aws_iam_role) — WHO can assume me.<br>2) Permissions policy (attached separately) — WHAT I can do once assumed.<br>Either half missing = role is broken.
Why doesn't EC2 attach to an IAM Role directly?	EC2 attaches to an Instance Profile, a thin wrapper around a role. Console hides this; Terraform requires aws_iam_instance_profile explicitly and a reference from aws_instance.iam_instance_profile. Lambda, ECS, etc. take roles directly — EC2 is the special case.
In Terraform IAM cross-references, when do you use .name vs .arn?	.name for principals (users, groups, roles) in management API calls — they only exist within your account, so name is unambiguous.<br>.arn for policies — they may live in the aws account namespace (managed) or your account, so ARN with account ID disambiguates.<br>Plan and validate do NOT catch mistakes here.
What's the difference between aws_iam_user_group_membership and aws_iam_group_membership?	aws_iam_user_group_membership: user-side, additive ("put this user in these groups"). Safe.<br>aws_iam_group_membership: group-side, exclusive ("these are the ONLY members"). Removes anyone not listed on next apply. Dangerous.
What does the prefix-less aws_iam_policy_attachment do, and why avoid it?	Manages ALL attachments of one specific policy across users/groups/roles. If anyone attaches that same policy anywhere else (manually, or in another config), Terraform removes it on next apply. Use the principal-prefixed aws_iam_{user,group,role}_policy_attachment instead.
In HCL, what's the difference between aws_iam_group.developers and "aws_iam_group.developers"?	Without quotes: a reference expression, evaluated by Terraform to a resource (then dot into .name / .arn / .id).<br>With quotes: a literal string of 23 characters, passed through unchanged. Most common HCL beginner bug.
What do +, -, ~, and -/+ mean in terraform plan output?	+ create. - destroy. ~ in-place update (attribute changed, resource not recreated). -/+ destroy and recreate (an attribute marked ForceNew changed; plan shows "# forces replacement" next to it).
Does changing the name on aws_iam_user force destroy and recreate?	NO — aws_iam_user.name is in-place updatable (provider calls AWS UpdateUser with NewUserName).<br>BUT aws_iam_policy.name IS ForceNew (destroys and recreates, because the ARN embeds the name). Different IAM resources behave differently; always read the plan.
What is the IAM policy Version field (e.g. "2012-10-17")?	The IAM policy LANGUAGE version (policy schema). Always "2012-10-17" for modern IAM policies — NOT a free-form version field. The aws_iam_policy_document data source adds it automatically.
